,Title,Subtitle,Link
15,RED-FACED,Sky apologise as Ten Hag celebrates stunning Liverpool win with X-rated interview,https://www.thesun.co.uk/sport/19587928/sky-sports-apologise-ten-hags-interview-liverpool/
16,RED NEVILLE,Watch Neville's wild SCREECH as he celebrates Rashford's goal in Man Utd win,https://www.thesun.co.uk/sport/19591609/gary-nevilles-screech-celebrates-rashfords-goal-man-utd/
17,GREAT DANE,Eriksen says 'it's great to play with players who want to run' after duo axed,https://www.thesun.co.uk/sport/19592641/eriksen-great-run-ten-hag-ronaldo-maguire-liverpool/
18,CARR CRASH,Watch brutal moment Cristiano Ronaldo SNUBS Jamie Carragher and blanks handshake,https://www.thesun.co.uk/sport/19586367/man-utd-cristiano-ronaldo-jamie-carragher-snub-handshake/
19,KLOPP IT,Klopp reveals 'emotional' exchange with Fernandes after Man Utd defeat Liverpool,https://www.thesun.co.uk/sport/19588958/klopp-reveals-exchange-fernandes-liverpool-man-utd/
20,RED MISSED,Man Utd accused of copying PSG's record goal against Liverpool - but mess up,https://www.thesun.co.uk/sport/19590613/man-utd-copy-psgs-goal-liverpool-mess-up/
21,UP THE ANT-E,Man Utd target Antony watches win over Liverpool as he closes in on £80m move,https://www.thesun.co.uk/sport/19588446/man-utd-transfer-target-antony-watches-liverpool-ajax/
22,CASE CLOSED,Fans say the same thing as Casemiro introduces himself to Roy Keane at Man Utd,https://www.thesun.co.uk/sport/19589961/casemiro-introduction-keane-man-united-pay-homage/
23,DREAD DEVILS,The six key problems the next Man Utd owners MUST fix - despite Liverpool win,https://www.thesun.co.uk/sport/19592888/man-utds-glazers-six-key-problems-must-fix/
24,GOR DROPPING,Anthony Gordon REMOVES Everton on Instagram bio amid Chelsea transfer link,https://www.thesun.co.uk/sport/19585488/chelsea-anthony-gordon-everton-instagram-transfer/
25,FRENKFURTER,Man Utd and Chelsea blow as Bayern join Frenkie de Jong race in LOAN swoop,https://www.thesun.co.uk/sport/19590679/man-utd-chelsea-de-jong-transfer-bayern-munich/
26,MEET US JAPH WAY,AC Milan in talks with Spurs over Tanganga 'loan to buy',https://www.thesun.co.uk/sport/19592144/ac-milan-talks-tottenham-tanganga-transfer/
27,END IN TEARS,Fans say the same thing as Casemiro breaks down in tears upon Real Madrid exit,https://www.thesun.co.uk/sport/19580217/casemiro-real-madrid-crying-man-utd-transfer/
28,RAF RACE,Chelsea turn focus to Leao with AC Milan star seen as alternative to Gordon,https://www.thesun.co.uk/sport/19589369/chelsea-transfer-leao-ac-milan-gordon/
29,RON WAY OR ANOTHER,Fernandes gives cryptic interview about Ronaldo's Man Utd future,https://www.thesun.co.uk/sport/19588938/bruno-fernandes-cristiano-ronaldo-man-utd/
30,DOWN TO THE GUIRE,Ten Hag rules out Ronaldo and Maguire exits despite axe for Liverpool win,https://www.thesun.co.uk/sport/19590631/ten-hag-rules-out-maguire-ronaldo-exit-man-utd/
31,MOR OF THE SAME,Chelsea planning shock transfer for former flop striker Alvaro Morata,https://www.thesun.co.uk/sport/19587030/chelsea-transfer-alvaro-morata-atletico-madrid/
32,HARRY ALONG,How Chelsea could line up with Maguire as they make enquiry for Man Utd captain,https://www.thesun.co.uk/sport/19566201/chelsea-harry-maguire-transfer-man-utd-predicted-xi/
33,JOAO ON MOVE,Newcastle 'agree £30m deal for Watford ace Pedro' after first two bids snubbed,https://www.thesun.co.uk/sport/football/19585904/necawstle-joao-pedro-transfer-watford-agreed/
34,TO THE MAX,Man Utd planning transfer raid for Newcastle winger Allan Saint-Maximin,https://www.thesun.co.uk/sport/19588135/man-utd-allan-saint-maximin-transfer-newcastle-bid/
35,NOT SARR-Y,Watford confident of keeping Ismaila Sarr after Aston Villa deal falls through,https://www.thesun.co.uk/sport/19586029/watford-ismaila-sarr-aston-villa-transfer-off/
36,BLUE START,Chelsea set for mass transfer clear out with NINE players on chopping block,https://www.thesun.co.uk/sport/19589269/chelsea-huge-transfer-exodus-nine-players-ziyech-alonso/
37,ARSENAL TRANSFER NEWS,"Pedro Neto wants Emirates move, Moussa Diaby LOVED by Gunners",https://www.thesun.co.uk/sport/19556868/arsenal-transfer-news-live-pedro-neto-moussa-diaby-tielemans/
38,CHELSEA NEWS,"Blues 'confident' of signing Anthon Gordon, Rafael Leao interest",https://www.thesun.co.uk/sport/19457016/chelsea-transfer-news-live-anthony-gordon-aubameyang/
